Idusuario,Deslogin,Dessenha,Dtcadastro
31,ALBINAMAXIMA,123456789,2020-02-21 17:06:38
10,aluno,123456789,2020-02-21 16:25:43
11,aluno,123456789,2020-02-21 16:26:04
12,aluno,123456789,2020-02-21 16:26:14
13,aluno,123456789,2020-02-21 16:26:15
14,aluno,123456789,2020-02-21 16:26:19
16,aluno,123456789,2020-02-21 16:32:11
17,aluno,123456789,2020-02-21 16:33:54
18,aluno,123456789,2020-02-21 16:34:09
19,aluno,123456789,2020-02-21 16:35:31
21,aluno,123456789,2020-02-21 16:36:37
23,aluno,123456789,2020-02-21 16:39:09
25,aluno,123456789,2020-02-21 16:39:24
26,aluno,123456789,2020-02-21 16:41:10
27,aluno,123456789,2020-02-21 16:41:29
28,aluno,123456789,2020-02-21 16:41:35
29,aluno,123456789,2020-02-21 16:42:27
30,aluno,123456789,2020-02-21 17:03:20
1,professor,vindictus,2020-02-19 13:47:12
3,professor,vindictus,2020-02-19 13:49:40
4,professor,vindictus,2020-02-20 17:41:11
5,professor,vindictus,2020-02-20 17:41:49
8,professor,vindictus,2020-02-21 16:22:55
9,professor,vindictus,2020-02-21 16:24:38
15,professor,vindictus,2020-02-21 16:32:03
32,professor,vindictus,2020-02-21 18:16:47
33,reger,123456789,2020-03-02 08:37:56
6,root,penacho,2020-02-20 17:41:49
